,p,d,baseline,shd,precision,recall,F1,spuriousness,time,shd_ci95,precision_ci95,recall_ci95,F1_ci95,spuriousness_ci95,time_ci95
34,hard,500,GIES,1298.0,0.43299583085169746,0.6775396085740913,0.5283430232558141,40.6789755807028,2.476545476913452,0.0,0.0,0.0,0.0,0.0,0.0
35,hard,500,PC,1160.0,0.8060344827586207,0.1436251920122888,0.24380704041720994,2.1551724137931036,865.0122551202772,0.0,0.0,0.0,0.0,0.0,0.0
36,intermediate,20,GIES,45.0,0.4262295081967213,0.7222222222222222,0.5360824742268041,45.90163934426229,0.03780500888824463,0.0,0.0,0.0,0.0,0.0,0.0
37,intermediate,20,PC,33.0,0.5833333333333334,0.3783783783783784,0.45901639344262296,16.666666666666664,6.684981079896292,0.0,0.0,0.0,0.0,0.0,0.0
38,intermediate,40,GIES,104.0,0.35294117647058826,0.75,0.48,45.588235294117645,0.044412076473236084,0.0,0.0,0.0,0.0,0.0,0.0
39,intermediate,40,PC,63.0,0.7941176470588235,0.3253012048192771,0.4615384615384615,0.0,11.626273894309998,0.0,0.0,0.0,0.0,0.0,0.0
40,intermediate,60,GIES,142.0,0.40437158469945356,0.6915887850467289,0.5103448275862069,45.90163934426229,0.05094032684961955,0.0,0.0,0.0,0.0,0.0,0.0
41,intermediate,60,PC,102.0,0.8648648648648649,0.24806201550387597,0.3855421686746988,5.405405405405405,18.29211624860763,0.0,0.0,0.0,0.0,0.0,0.0
42,intermediate,80,GIES,182.0,0.4339622641509434,0.5974025974025974,0.5027322404371585,40.56603773584906,0.06307369073232015,0.0,0.0,0.0,0.0,0.0,0.0
43,intermediate,80,PC,160.0,0.7777777777777778,0.15555555555555556,0.25925925925925924,0.0,35.839646915594734,0.0,0.0,0.0,0.0,0.0,0.0
44,intermediate,100,GIES,214.0,0.43014705882352944,0.6647727272727273,0.5223214285714286,38.970588235294116,0.07842206160227458,0.0,0.0,0.0,0.0,0.0,0.0
45,intermediate,100,PC,166.0,0.8869896839332748,0.27122935381919155,0.41539472152406137,0.0,45.364205699165666,2.5303491195221826,0.020280872057239552,0.010397443242885404,0.014119166226514662,0.0,7.944952206426501
46,intermediate,200,GIES,426.0,0.4369602763385147,0.71671388101983,0.5429184549356223,37.99654576856649,0.205142072836558,0.0,0.0,0.0,0.0,0.0,0.0
47,intermediate,200,PC,375.3333333333333,0.7199185531201341,0.2002962422005862,0.31336090181256404,1.6816385195831838,121.03212313387128,4.284193169210644,0.028113032467667155,0.009208147728378344,0.013169579962896806,0.0563420768954365,17.763191410521014
48,intermediate,300,GIES,730.0,0.4011299435028249,0.6396396396396397,0.4930555555555556,41.69491525423729,0.6615827123324076,0.0,0.0,0.0,0.0,0.0,0.0
49,intermediate,300,PC,587.3333333333334,0.7766483976566202,0.1983430799220273,0.31597201481793985,4.008874913855535,291.74205512470667,4.284193169210633,0.00541602662191314,0.0062634403058635,0.008382550442681809,0.09721073423946693,9.014860530381606
50,intermediate,400,GIES,923.0,0.4056603773584906,0.7554904831625183,0.5278772378516625,45.911949685534594,1.1221115867296854,0.0,0.0,0.0,0.0,0.0,0.0
51,intermediate,400,PC,634.0,0.8302583025830258,0.2767527675276753,0.4151291512915129,1.4760147601476015,287.96987290382384,0.0,0.0,0.0,0.0,0.0,0.0
52,intermediate,500,GIES,1186.0,0.4048716260697828,0.68561872909699,0.5091059602649006,44.5687952600395,1.7463268041610718,0.0,0.0,0.0,0.0,0.0,0.0
53,intermediate,500,PC,842.0,0.8666666666666667,0.26383763837638374,0.40452616690240445,1.2121212121212122,507.3357954065005,0.0,0.0,0.0,0.0,0.0,0.0
