dataname,mode,shd,espur,precision,recall,F1,time,spuriousness,shd_ci95,espur_ci95,precision_ci95,recall_ci95,F1_ci95,time_ci95,spuriousness_ci95
barley,aS,39.8,5.4,0.7842965949820788,0.6538032182749038,0.7130901153407547,65.3981327533722,8.567748335893498,5.126065157603832,1.8176292251171575,0.04800754200968094,0.03597404064050222,0.040928086749388706,3.2812693454750628,2.962514610375317
barley,n,45.8,5.2,0.6869959725183605,0.6253316749585406,0.6542011365540776,61.6790744304657,8.219616204690832,2.3520000000000003,0.7333648478076925,0.03357463145240399,0.025879097994528383,0.023268929033167608,1.9073676506897908,1.0585409809274624
cancer,aL-Re,1.0,0.0,1.0,0.75,0.8571428571428571,10.25140175819397,0.0,0.0,0.0,0.0,0.0,0.0,0.5965327101269787,0.0
cancer,aS,0.0,0.0,1.0,1.0,1.0,5.042415523529053,0.0,0.0,0.0,0.0,0.0,0.0,0.1687973729210683,0.0
cancer,n,3.8,1.0,0.2866666666666667,0.8,0.380952380952381,5.14733853340149,23.666666666666664,0.3919999999999999,0.0,0.11613907371959035,0.26133333333333325,0.09333333333333335,0.12513437308184117,5.102696454925678
child,aL-Re,14.4,1.4,0.701547987616099,0.5666696385231854,0.6228066528066528,48.1337242603302,7.9484004127966985,2.017943507633452,0.784,0.09348279712297337,0.0736553980595572,0.0657442849151282,1.154805090324073,4.539798194383486
child,aS,5.4,0.0,1.0,0.784,0.8768705078355131,20.251408529281616,0.0,1.8176292251171575,0.0,0.0,0.07270516900468632,0.04839945273631472,0.6281580180113412,0.0
child,n,19.4,3.4,0.40271033314511573,0.5994047619047619,0.4807965860597439,21.31232237815857,15.14963297571993,1.3293366766925525,0.48009998958550293,0.04471392784655944,0.03946024722567144,0.04124054587848325,0.32942882008059954,1.8345855656924743
hailfinder,aL-Re,45.3,0.6,0.6697691783087321,0.37658017061531446,0.48114025010701733,123.66167435646057,1.8929134872339741,2.922525848189087,0.32006665972366855,0.06314007393493797,0.04271197091452735,0.04944776501986936,2.7921843520457967,1.0216980032844334
hailfinder,aS,30.1,0.9,0.7797102390901719,0.6463983572955316,0.7059224487858827,65.52932856082916,1.9002581400609422,3.735444403131827,0.4573333333333333,0.05068701435499896,0.05028336571293157,0.0481070568122102,1.4919280543113793,0.9590534457339129
hailfinder,n,34.5,1.0,0.6819112643123013,0.6232675220767816,0.6507345294251888,64.96989283561706,2.080397497490292,2.94,0.5060698239044358,0.037552258047494784,0.042676919741362576,0.03894441698007578,0.9716850535988235,1.0370564730165046
insurance,aL-Re,42.0,3.2,0.464981527093596,0.33133971291866027,0.38533538137632145,60.83124189376831,11.070443349753694,1.753077294359834,0.7333648478076924,0.06903318406663654,0.028706070865723986,0.03492411505416644,2.0013987821423926,1.9372049001610758
insurance,aS,22.6,3.8,0.7624994127319709,0.7303321678321678,0.7444717201838641,32.84227290153503,8.712238665727039,3.3146607669564014,0.39199999999999996,0.0792956348762862,0.01749408455723795,0.046626673593191344,0.17233872886275892,0.8636177721389897
insurance,n,18.0,1.6,0.8013833992094861,0.7944137022397892,0.7978593951236844,34.1545955657959,3.6166007905138344,2.84030984225313,1.176,0.03145072228617359,0.03565117629555608,0.033378328787002254,0.8889456405921626,2.6826732509815896
munin,aS,745.0,14.444444444444445,0.7560655950535407,0.5567684361484377,0.6412490912772988,7852.490801413854,1.6396609728274187,19.039370904639796,1.4649501740146929,0.01388438583956937,0.011496207508903438,0.012092823609327171,1310.9417811116055,0.16763896750184404
