dataname,baseline,s,shd,espur,precision,recall,F1,time,spuriousness,shd_ci95,espur_ci95,precision_ci95,recall_ci95,F1_ci95,time_ci95,spuriousness_ci95
notears,MLPNotears,500,200.58333333333334,91.0,0.7862538453749065,0.8098199821035199,0.7965797628171916,425.11840728720034,17.880325584515898,26.17575628652814,20.37891661556724,0.03819810304038949,0.007547197761324289,0.022756132445502095,96.94001506552101,3.0157774434008573
notears,MLPNotears,600,239.0,102.66666666666667,0.7875485294860255,0.8030935474758696,0.7951177001723657,438.6449419710371,17.406963111535504,19.82734811651153,13.500465835584258,0.02905006904780795,0.007273500368282157,0.016168657102731857,137.48008586739914,1.8938900751976804
notears,MLPNotears,700,562.6666666666666,273.3333333333333,0.5681376945727956,0.6321424512014531,0.5956168863993756,515.1666193869379,36.51504637568666,154.88685648276007,111.27400255425542,0.13046466919228444,0.05315303899051132,0.09101131045865236,136.51438046962045,9.69441154110324
notears,MLPNotears,800,899.5,226.0,0.3380829015544041,0.17423230974632845,0.3431952662721893,608.9690072398939,58.549222797927456,195.01999999999998,442.96000000000004,0.0,0.3414953271028037,0.0,97.36322715114105,0.0
notears,MLPNotears,900,965.6666666666666,360.3333333333333,0.41525170475874845,0.34810465908793464,0.37776230736269983,989.53251568079,50.888707554507356,77.12654651789991,57.72672325515955,0.06673975455466172,0.07704089587895292,0.0687705127323739,310.4123990873367,5.128248690371116
notears,MLPNotears,1000,2492.6666666666665,1893.3333333333333,0.18017463611445894,0.4103957372422653,0.24848803400350164,3450.4753001875347,80.89587831978706,699.1408496465104,700.4181266770428,0.046564218021022015,0.004947686575987025,0.047074888333783295,568.1098281260579,5.091084236046344
notears,Notears,500,315.57142857142856,31.857142857142858,0.8653565135437873,0.4381803607214429,0.5816621748710912,33.80362588961919,12.262134130098763,43.59645857176933,22.056702684973864,0.09371502008308334,0.03822769449714034,0.054840666170375606,4.734238428890177,8.351729412220514
notears,Notears,600,374.5,18.75,0.921851155439285,0.410616374862627,0.5680962788231039,10.051424891750017,6.820906910834969,53.91781523763736,26.300724324626497,0.11115613897756572,0.0395664731892657,0.05907761956813159,7.859964015666213,9.411008644109877
notears,Notears,700,493.90909090909093,19.545454545454547,0.8045167054993748,0.3294080995570802,0.4541148496958398,59.91116111892642,13.618749037809323,88.91397703621568,9.7010141414133,0.13307252729726626,0.11379616721750055,0.14585557476269018,25.65927556741856,8.532755269399154
notears,Notears,800,488.2,23.4,0.9292737931160524,0.42005882546820883,0.5780488067955505,38.187319691975915,6.523588399731885,27.4777740000896,7.190823040514903,0.022347233250031063,0.03032049787507334,0.031245920683372348,10.212980768448672,2.060654904338283
notears,Notears,900,596.8181818181819,32.72727272727273,0.8899124632597135,0.3742791777474849,0.523819759976556,59.06574707934351,10.386072818821658,63.264884174293535,11.872579589781761,0.054579996679971675,0.057689966585811166,0.06954341699934397,26.347718947870295,5.51653069036229
notears,Notears,1000,658.5454545454545,39.27272727272727,0.8465983739269166,0.38664180007479937,0.5221183732153478,265.58833572720033,11.713457660018385,102.42259169693644,12.771050527276442,0.08682914103215743,0.09203121977898293,0.11183522832723433,229.7713419757866,5.652069008950054
notears,SCORE,500,568.0,297.0,0.3149931224209078,0.7658862876254181,0.4463937621832359,198.40177015463513,40.852819807427785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
notears,SCORE,600,902.0,480.0,0.1844559585492228,0.6075085324232082,0.2829888712241654,196.8058364232381,49.740932642487046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
notears,SCORE,700,1188.0,613.0,0.10964912280701754,0.41946308724832215,0.17385257301808066,199.95578546126683,53.771929824561404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
notears,SCORE,800,1481.0,734.0,0.041930379746835444,0.16408668730650156,0.06679269061121614,239.7659543712934,58.06962025316456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
